Author full names	Title	Link	Affiliations	Authors with affiliations
"Ashraf, Muhammad Rehan (58279759700); Jana, Yasmeen (58662717400); Umer, Qasim (55520728200); Jaffar, M. Arfan (58663480100); Chung, Sungwook (57194853710); Ramay, Waheed Yousuf (57202684548)"	BERT-Based Sentiment Analysis for Low-Resourced Languages: A Case Study of Urdu Language	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174853909&doi=10.1109%2fACCESS.2023.3322101&partnerID=40&md5=1ea602741e5701ce2aec7ac374bb74d5	"Superior University, Department of Computer Science, Lahore, 54000, Pakistan; COMSATS University Islamabad, Department of Computer Sciences, Vehari, 61000, Pakistan; Hanyang University, Department of Computer Science, Seoul, 04763, South Korea; Changwon National University, Department of Computer Engineering, Changwon, 51140, South Korea; Air University, Department of Computer Science, Multan, 60000, Pakistan"	"Ashraf M.R., Superior University, Department of Computer Science, Lahore, 54000, Pakistan, COMSATS University Islamabad, Department of Computer Sciences, Vehari, 61000, Pakistan; Jana Y., COMSATS University Islamabad, Department of Computer Sciences, Vehari, 61000, Pakistan; Umer Q., COMSATS University Islamabad, Department of Computer Sciences, Vehari, 61000, Pakistan, Hanyang University, Department of Computer Science, Seoul, 04763, South Korea; Jaffar M.A., Superior University, Department of Computer Science, Lahore, 54000, Pakistan; Chung S., Changwon National University, Department of Computer Engineering, Changwon, 51140, South Korea; Ramay W.Y., Air University, Department of Computer Science, Multan, 60000, Pakistan"
"Sarwar, Muhammad Imran (57215290328); Nisar, Kashif (25825419000); Khan, Imran (58297450900); Shehzad, Danish (57188820959)"	Blockchains and Triple-Entry Accounting for B2B Business Models	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169905298&doi=10.5195%2fLEDGER.2023.288&partnerID=40&md5=6945ab1efd3184477053c19a346cf99c	"The Department of Computer Science & IT, The Superior University, Lahore, Lahore, 54500, Pakistan"	"Sarwar M.I., The Department of Computer Science & IT, The Superior University, Lahore, Lahore, 54500, Pakistan; Nisar K., The Department of Computer Science & IT, The Superior University, Lahore, Lahore, 54500, Pakistan; Khan I., The Department of Computer Science & IT, The Superior University, Lahore, Lahore, 54500, Pakistan; Shehzad D., The Department of Computer Science & IT, The Superior University, Lahore, Lahore, 54500, Pakistan"
"Joseph, Robinson (58125001300); Sharma, Rahul (58590686400); Sarwar, Muhamamd Imran (57215290328); Khan, Imran (58297450900); Akram, Ali Sheraz (57671149000); Alyas, Tahir (57211024338); Atif, Shehzada (58297451000); Paramaiah, Ch. (57221631927)"	Triple-Entry Accounting (TEA) and Blockchain Implementation in Accounting and Finance - A Survey	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160782853&doi=10.1109%2fICBATS57792.2023.10111259&partnerID=40&md5=051b544284ae9f79a376e3ff8c236c57	"Skyline University College, School of Business, Sharjah, United Arab Emirates; The Superior University, Lahore, Department of Computer Science & IT, Lahore, Pakistan; NCBA&E, School of Computer Science, Lahore, Pakistan; Applied Science Private University, Applied Science Research Center, Amman, 11937, Jordan; Lahore Garrison University, Department of Computer Science, Lahore, Pakistan; Skyline University College, United Arab Emirates"	"Joseph R., Skyline University College, School of Business, Sharjah, United Arab Emirates; Sharma R., Skyline University College, School of Business, Sharjah, United Arab Emirates; Sarwar M.I., The Superior University, Lahore, Department of Computer Science & IT, Lahore, Pakistan; Khan I., The Superior University, Lahore, Department of Computer Science & IT, Lahore, Pakistan; Akram A.S., NCBA&E, School of Computer Science, Lahore, Pakistan, Applied Science Private University, Applied Science Research Center, Amman, 11937, Jordan; Alyas T., Lahore Garrison University, Department of Computer Science, Lahore, Pakistan; Atif S., NCBA&E, School of Computer Science, Lahore, Pakistan; Paramaiah C., Skyline University College, United Arab Emirates"
"Hussain, Shahid (57197744903); Rasheed, Abdul (57533199800); Mahmood, Mahmoona (58634052800)"	Gender diversity effects on investment decisions: a study of Shark Tank	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173468606&doi=10.1108%2fK-07-2023-1311&partnerID=40&md5=2d7bb096d7785da6ff0c868780e963ec	"Institute of Business Administration, Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan, Pakistan; Department of Business and Management Sciences, Superior University, Lahore, Pakistan"	"Hussain S., Institute of Business Administration, Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan, Pakistan; Rasheed A., Institute of Business Administration, Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan, Pakistan; Mahmood M., Department of Business and Management Sciences, Superior University, Lahore, Pakistan"
"Kausar, Tasleem (57204695175); Lu, Yun (57197729685); Kausar, Adeeba (57218676578); Ali, Mustajab (57465807600); Yousaf, Adnan (38362658000)"	SD-GAN: A Style Distribution Transfer Generative Adversarial Network for Covid-19 Detection Through X-Ray Images	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149894399&doi=10.1109%2fACCESS.2023.3253282&partnerID=40&md5=86b9f8297460a98645be283f66cbdd34	"Mirpur University of Science and Technology (MUST), Mirpur Institute of Technology, Azad Jammu and Kashmir, Mirpur, 10250, Pakistan; Huizhou University, School of Computer Science and Engineering, Guangdong, Huizhou, 516007, China; Superior University, Department of Information Engineering Technology, Punjab, Lahore, 05499, Pakistan; Mirpur University of Science Technology (MUST), Department of Civil Engineering, Mirpur, 10250, Pakistan"	"Kausar T., Mirpur University of Science and Technology (MUST), Mirpur Institute of Technology, Azad Jammu and Kashmir, Mirpur, 10250, Pakistan; Lu Y., Huizhou University, School of Computer Science and Engineering, Guangdong, Huizhou, 516007, China; Kausar A., Superior University, Department of Information Engineering Technology, Punjab, Lahore, 05499, Pakistan; Ali M., Mirpur University of Science Technology (MUST), Department of Civil Engineering, Mirpur, 10250, Pakistan; Yousaf A., Superior University, Department of Information Engineering Technology, Punjab, Lahore, 05499, Pakistan"
"Qureshi, Rizwan (57193871773); Irfan, Muhammad (41561393200); Ali, Hazrat (56501336300); Khan, Arshad (55511990000); Nittala, Aditya Shekhar (56159493000); Ali, Shawkat (56936169800); Shah, Abbas (58247554000); Gondal, Taimoor Muzaffar (57208206380); Sadak, Ferhat (57204569726); Shah, Zubair (56428700200); Hadi, Muhammad Usman (57194410682); Khan, Sheheryar (57202720144); Al-Tashi, Qasem (57202329233); Wu, Jia (23971568900); Bermak, Amine (6701561781); Alam, Tanvir (56188785000)"	Artificial Intelligence and Biosensors in Healthcare and Its Clinical Relevance: A Review	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163149746&doi=10.1109%2fACCESS.2023.3285596&partnerID=40&md5=e9b5d3cf6b3131a40e255306aafc8d9f	"The University of Texas, MD Anderson Cancer Center, Department of Imaging Physics, Houston, 77030, TX, United States; Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI), Faculty of Electrical Engineering, Swabi, 23460, Pakistan; College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; University of Calgary, Department of Computer Science, Calgary, T2N 1N4, AB, Canada; King Abdullah University of Science and Technology, Department of Electrical and Computer Engineering, Thuwal, 23955, Saudi Arabia; Mehran University of Engineering and Technology, Department of Electronics Engineering, Jamshoro, 76062, Pakistan; Superior University Lahore, Faculty of Engineering, Lahore, 54000, Pakistan; Institut des Systemes Intelligents et de Robotique, ISIR, Sorbonne Universite, CNRS, Paris, 75005, France; Bartin University, Department of Mechanical Engineering, Bartin, 74100, Turkey; Ulster University, Nanotechnology and Integrated Bio-Engineering Centre (NIBEC), School of Engineering, Belfast, BT15 1AP, United Kingdom; The Hong Kong Polytechnic University, School of Professional Education and Executive Development, Hong Kong, Hong Kong"	"Qureshi R., The University of Texas, MD Anderson Cancer Center, Department of Imaging Physics, Houston, 77030, TX, United States; Irfan M., Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI), Faculty of Electrical Engineering, Swabi, 23460, Pakistan; Ali H., College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; Khan A., College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; Nittala A.S., University of Calgary, Department of Computer Science, Calgary, T2N 1N4, AB, Canada; Ali S., King Abdullah University of Science and Technology, Department of Electrical and Computer Engineering, Thuwal, 23955, Saudi Arabia; Shah A., Mehran University of Engineering and Technology, Department of Electronics Engineering, Jamshoro, 76062, Pakistan; Gondal T.M., Superior University Lahore, Faculty of Engineering, Lahore, 54000, Pakistan; Sadak F., Institut des Systemes Intelligents et de Robotique, ISIR, Sorbonne Universite, CNRS, Paris, 75005, France, Bartin University, Department of Mechanical Engineering, Bartin, 74100, Turkey; Shah Z., College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; Hadi M.U., Ulster University, Nanotechnology and Integrated Bio-Engineering Centre (NIBEC), School of Engineering, Belfast, BT15 1AP, United Kingdom; Khan S., The Hong Kong Polytechnic University, School of Professional Education and Executive Development, Hong Kong, Hong Kong; Al-Tashi Q., The University of Texas, MD Anderson Cancer Center, Department of Imaging Physics, Houston, 77030, TX, United States; Wu J., The University of Texas, MD Anderson Cancer Center, Department of Imaging Physics, Houston, 77030, TX, United States; Bermak A., College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; Alam T., College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar"
"Ahmad, Jawad (58602287700); Akram, Sheeraz (56199595000); Jaffar, Arfan (26654126000); Rashid, Muhammad (57221707362); Bhatti, Sohail Masood (56730176600)"	Breast Cancer Detection Using Deep Learning: An Investigation Using the DDSM Dataset and a Customized AlexNet and Support Vector Machine	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171558381&doi=10.1109%2fACCESS.2023.3311892&partnerID=40&md5=0b7a26d4bbbf58a515eedc6a59b2a0e9	"Superior University, Faculty of Computer Science and Information Technology, Lahore, 54000, Pakistan; Intelligent Data Visual Computing Research (IDVCR), Lahore, 55150, Pakistan; Imam Mohammad Ibn Saud Islamic University (IMSIU), College of Computer and Information Sciences, Information Systems Department, Riyadh, 12571, Saudi Arabia; National University of Technology, Department of Computer Science, Islamabad, 45000, Pakistan"	"Ahmad J., Superior University, Faculty of Computer Science and Information Technology, Lahore, 54000, Pakistan, Intelligent Data Visual Computing Research (IDVCR), Lahore, 55150, Pakistan; Akram S., Superior University, Faculty of Computer Science and Information Technology, Lahore, 54000, Pakistan, Intelligent Data Visual Computing Research (IDVCR), Lahore, 55150, Pakistan, Imam Mohammad Ibn Saud Islamic University (IMSIU), College of Computer and Information Sciences, Information Systems Department, Riyadh, 12571, Saudi Arabia; Jaffar A., Superior University, Faculty of Computer Science and Information Technology, Lahore, 54000, Pakistan, Intelligent Data Visual Computing Research (IDVCR), Lahore, 55150, Pakistan; Rashid M., National University of Technology, Department of Computer Science, Islamabad, 45000, Pakistan; Bhatti S.M., Superior University, Faculty of Computer Science and Information Technology, Lahore, 54000, Pakistan, Intelligent Data Visual Computing Research (IDVCR), Lahore, 55150, Pakistan"
"Rashid, Javed (57232162400); Qaisar, Bilal Shabbir (58606167800); Faheem, Muhammad (58648789900); Akram, Arslan (57462951800); Amin, Riaz ul (57211356864); Hamid, Muhammad (57201908966)"	Mouth and oral disease classification using InceptionResNetV2 method	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171689093&doi=10.1007%2fs11042-023-16776-x&partnerID=40&md5=ba6c44ca777459f5605a4c351a651735	"Department of IT Services, University of Okara, Okara, 56310, Pakistan; Department of CS&SE, Islamic International University, Islamabad, 44000, Pakistan; MLC Lab, Meharban House, House # 209, Zafar Colony, Okara, 56300, Pakistan; Department of CS, University of Okara, Okara, 56310, Pakistan; School of Technology and Innovations, University of Vaasa, Vaasa, 65200, Finland; Department of Computer Science, Superior University, Lahore, 54000, Pakistan; Department of Statistics and Computer Science, University of Veternary and Animal Sciences, Lahore, 54000, Pakistan"	"Rashid J., Department of IT Services, University of Okara, Okara, 56310, Pakistan, Department of CS&SE, Islamic International University, Islamabad, 44000, Pakistan, MLC Lab, Meharban House, House # 209, Zafar Colony, Okara, 56300, Pakistan; Qaisar B.S., MLC Lab, Meharban House, House # 209, Zafar Colony, Okara, 56300, Pakistan, Department of CS, University of Okara, Okara, 56310, Pakistan; Faheem M., School of Technology and Innovations, University of Vaasa, Vaasa, 65200, Finland; Akram A., MLC Lab, Meharban House, House # 209, Zafar Colony, Okara, 56300, Pakistan, Department of Computer Science, Superior University, Lahore, 54000, Pakistan; Amin R., MLC Lab, Meharban House, House # 209, Zafar Colony, Okara, 56300, Pakistan, Department of CS, University of Okara, Okara, 56310, Pakistan; Hamid M., Department of Statistics and Computer Science, University of Veternary and Animal Sciences, Lahore, 54000, Pakistan"
"Bashir, Rab Nawaz (57216837573); Bajwa, Imran Sarwar (24723637600); Iqbal, Muhammad Waseem (57194948912); Ashraf, Muhammad Usman (57203054223); Alghamdi, Ahmed Mohammed (57195754580); Bahaddad, Adel A. (56922260800); Almarhabi, Khalid Ali (57204803888)"	Leaching Fraction (LF) of Irrigation Water for Saline Soils Using Machine Learning	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146191999&doi=10.32604%2fiasc.2023.030844&partnerID=40&md5=b67e1535325c1eec21ef78d78ad71e3d	"Department of Computer Science, COMSATS University Islamabad, Vehari Campus, Pakistan; Department of Computer Science and IT, Islamia University, Bahawalpur, Pakistan; Department of Software Engineering, Superior University, Lahore, 54000, Pakistan; Department of Computer Science, GC Women University, Sialkot, 53310, Pakistan; Department of Software Engineering, College of Computer Science and Engineering, University of Jeddah, 21493, Saudi Arabia; Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, 21589, Saudi Arabia; Department of Computer Science, College of Computing in Al-Qunfudah, Umm Al-Qura University, Makkah, 24381, Saudi Arabia"	"Bashir R.N., Department of Computer Science, COMSATS University Islamabad, Vehari Campus, Pakistan; Bajwa I.S., Department of Computer Science and IT, Islamia University, Bahawalpur, Pakistan; Iqbal M.W., Department of Software Engineering, Superior University, Lahore, 54000, Pakistan; Ashraf M.U., Department of Computer Science, GC Women University, Sialkot, 53310, Pakistan; Alghamdi A.M., Department of Software Engineering, College of Computer Science and Engineering, University of Jeddah, 21493, Saudi Arabia; Bahaddad A.A., Department of Information System, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, 21589, Saudi Arabia; Almarhabi K.A., Department of Computer Science, College of Computing in Al-Qunfudah, Umm Al-Qura University, Makkah, 24381, Saudi Arabia"
"Badar, Hafiz Muhammad Sanaullah (57222902938); Mahmood, Khalid (57342911900); Akram, Waseem (57218837272); Ghaffar, Zahid (57215870203); Umar, Muhammad (58585764300); Das, Ashok Kumar (55450732800)"	Secure authentication protocol for home area network in smart grid-based smart cities	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152234849&doi=10.1016%2fj.compeleceng.2023.108721&partnerID=40&md5=269c3ba547a7a81152a0bdcf5bcf7ea8	"Department of Computer Science, Muhammad Nawaz Sharif University of Agriculture, Multan, Pakistan; Graduate School of Intelligent Data Science, National Yunlin University of Science and Technology, Douliu, 64002, Taiwan; Department of Computer Science, Lahore Garrison University, Lahore, Pakistan; Department of Computer Science and Information Engineering, National Yunlin University of Science and Technology, Douliu, 64002, Taiwan; Department of Computer Science, COMSATS University Islamabad, Sahiwal Campus, Punjab, Pakistan; Department of Computer Science, Superior University, Lahore 54600, Pakistan; Center for Security, Theory and Algorithmic Research, International Institute of Information Technology, Hyderabad, 500 032, India"	"Badar H.M.S., Department of Computer Science, Muhammad Nawaz Sharif University of Agriculture, Multan, Pakistan; Mahmood K., Graduate School of Intelligent Data Science, National Yunlin University of Science and Technology, Douliu, 64002, Taiwan; Akram W., Department of Computer Science, Lahore Garrison University, Lahore, Pakistan; Ghaffar Z., Department of Computer Science and Information Engineering, National Yunlin University of Science and Technology, Douliu, 64002, Taiwan; Umar M., Department of Computer Science, COMSATS University Islamabad, Sahiwal Campus, Punjab, Pakistan, Department of Computer Science, Superior University, Lahore 54600, Pakistan; Das A.K., Center for Security, Theory and Algorithmic Research, International Institute of Information Technology, Hyderabad, 500 032, India"
